,thresholds,ious
0,-0.8472978603872036,0.7652500000000001
1,-0.7845813865195774,0.76575
2,-0.7233002187306329,0.7659999999999999
3,-0.6632942174102644,0.76625
4,-0.6044190649512611,0.7669999999999999
5,-0.5465437063680699,0.766875
6,-0.4895482253187058,0.7665000000000001
7,-0.4333220626111307,0.7659999999999999
8,-0.37776250555882873,0.7658750000000001
9,-0.3227733922630512,0.7651249999999998
10,-0.26826398659467926,0.7647499999999999
11,-0.21414798840563196,0.764
12,-0.1603426500751795,0.76375
13,-0.1067679754257063,0.7632499999999999
14,-0.05334598070529297,0.7635
15,0.0,0.76775
16,0.053345980705292714,0.776875
17,0.10676797542570594,0.780375
18,0.16034265007517948,0.779875
19,0.2141479884056315,0.7792500000000001
20,0.26826398659467937,0.7785
21,0.32277339226305085,0.778125
22,0.37776250555882834,0.77775
23,0.43332206261113065,0.7771250000000001
24,0.48954822531870534,0.776125
25,0.5465437063680698,0.7758750000000001
26,0.6044190649512607,0.7755000000000001
27,0.6632942174102638,0.774375
28,0.7233002187306328,0.7739999999999999
29,0.7845813865195772,0.7723749999999999
30,0.8472978603872034,0.7707499999999999
